Date,Player,MatchId,Map,Category,Playlist,Input,Queue,Csr,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,Kills,Deaths,Assists,Betrayals,Suicides,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2023-05-20 04:20:19","Sparty McFIy",51b2aed7-d177-4315-bcbf-6e2c4333c65b,Streets,Slayer,"Ranked Arena",CrossPlay,Open,2169,,Loss,55.08,3520,3212,256,141,115,0.91,1.00,10,11,6,0,0,11,9,1300,0,3,361
"2023-05-20 04:27:13","Sparty McFIy",9216c245-e845-4b9d-964b-d1881a3ebe25,Aquarius,CTF,"Ranked Arena",CrossPlay,Open,2157,,Loss,53.78,6452,5884,662,356,306,1.33,9.00,24,18,9,0,0,24,18,3305,1,10,749
"2023-05-20 04:40:54","Sparty McFIy",d64d30ee-29a5-4997-84dd-07709e759ef1,Empyrean,Slayer,"Ranked Arena",CrossPlay,Open,2146,,Win,60.81,2903,1778,148,90,58,2.75,8.00,11,4,3,0,0,14,9,1250,0,13,402
"2023-05-20 04:48:56","Sparty McFIy",3a984b86-709b-41a9-9072-e263e5a8fd8e,Recharge,"King of the Hill","Ranked Arena",CrossPlay,Open,2151,,Loss,59.41,3872,4197,340,202,138,0.73,-2.66,11,15,4,0,0,18,13,1400,0,3,550
"2023-05-20 04:59:19","Sparty McFIy",42262a3e-cd38-4cdf-9e85-f6f673511c16,Aquarius,Slayer,"Ranked Arena",CrossPlay,Open,2138,,Win,55.87,4080,2949,349,195,154,2.14,10.33,15,7,7,0,0,14,9,1850,0,7,416
"2023-05-20 06:53:11","Sparty McFIy",c49a630e-f6d7-4a6d-b3ab-722f80ee1fa7,Starboard,CTF,"Ranked Arena",CrossPlay,Open,2143,,Win,52.47,9012,6176,911,478,433,1.56,14.66,28,18,14,0,0,27,21,4165,0,8,850
"2023-05-20 07:13:51","Sparty McFIy",73628c2f-db0a-41c1-b09b-d6d2e2f052df,Recharge,"King of the Hill","Ranked Arena",CrossPlay,Open,2147,,Win,56.28,5121,3428,398,224,174,2.22,14.33,20,9,10,0,0,18,11,2825,0,14,477
"2023-05-20 07:26:13","Sparty McFIy",c0c0b8a6-ef13-441e-8b77-4bfcd520791a,Recharge,Strongholds,"Ranked Arena",CrossPlay,Open,2152,,Win,62.02,4097,1834,258,160,98,5.33,17.00,16,3,12,0,0,12,9,2425,0,16,376
"2023-05-20 07:34:27","Sparty McFIy",4a577b00-c2e6-4896-befa-c11bbf3b5c03,Aquarius,Slayer,"Ranked Arena",CrossPlay,Open,2157,,Win,59.82,4063,3469,341,204,137,1.36,6.66,15,11,8,0,0,14,8,1900,0,3,382
"2023-05-20 07:42:58","Sparty McFIy",9b088c7b-7f1c-4b56-a919-2b0c1b8923a0,Argyle,CTF,"Ranked Arena",CrossPlay,Open,2161,,Loss,66.58,6903,5373,398,265,133,1.39,8.00,25,18,3,0,0,23,19,2735,0,13,750
"2023-05-20 08:00:26","Sparty McFIy",59be97e9-a61f-4b07-aeba-0938605f1877,Aquarius,CTF,"Ranked Arena",CrossPlay,Open,2150,,Loss,60.52,3512,3947,309,187,122,0.80,-1.33,12,15,5,0,0,12,11,1500,0,2,415
"2023-05-20 08:09:13","Sparty McFIy",b3c135f6-b2f3-4d37-b32c-9c9f0e34cc7f,Empyrean,Slayer,"Ranked Arena",CrossPlay,Open,2139,,Loss,48.51,3452,2348,336,163,173,2.33,9.33,14,6,4,0,0,13,11,1600,0,10,436
"2023-05-20 08:18:40","Sparty McFIy",700731cb-4bf9-412e-bea5-6398bdfadf0e,Streets,Slayer,"Ranked Arena",CrossPlay,Open,2129,,Win,59.86,3628,2870,279,167,112,2.11,11.33,19,9,4,0,0,12,9,2100,0,8,368
"2023-05-20 08:26:29","Sparty McFIy",0cf532d9-d4ef-49ba-91d0-4b0313b48902,Recharge,Strongholds,"Ranked Arena",CrossPlay,Open,2134,,Loss,72.4,2486,3217,192,139,53,0.50,-5.00,7,14,6,0,0,10,9,1100,0,3,358
