Date,Player,MatchId,Map,Category,Playlist,Input,Queue,Csr,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,Kills,Deaths,Assists,Betrayals,Suicides,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2023-11-09 01:39:33",eArL694412,5de8d072-22a2-40de-b598-39a5fc58dd33,Solitude,Strongholds,"Ranked Arena",CrossPlay,Open,994,,Win,44.89,3189,2901,176,79,97,1.57,5.33,11,7,4,0,0,10,10,1700,0,2,428
"2023-11-09 01:48:13",eArL694412,782a066b-686e-4e23-868c-09276ff304e1,Streets,Extraction,"Ranked Arena",CrossPlay,Open,1002,,Loss,36.8,4840,3928,413,152,261,1.18,5.00,13,11,9,0,0,13,13,2150,0,4,571
"2023-11-09 01:59:23",eArL694412,f0062f5a-d37e-4d60-9ea2-e65df26e2f3a,"Live Fire",Oddball,"Ranked Arena",CrossPlay,Open,994,,Win,56.7,5296,4645,224,127,97,1.07,5.66,16,15,14,0,0,17,18,2505,0,8,735
"2023-11-09 02:12:54",eArL694412,489b38dd-6e57-4ccc-983b-862559cc49db,Solitude,Strongholds,"Ranked Arena",CrossPlay,Open,1002,,Loss,53.52,6619,5109,327,175,152,1.38,9.33,22,16,10,0,0,16,18,3350,0,7,764
"2023-11-09 02:27:01",eArL694412,85e27762-bad3-4ef6-af92-c3d7285734a1,Streets,Extraction,"Ranked Arena",CrossPlay,Open,994,,Win,51.48,3376,1844,169,87,82,3.00,10.00,12,4,6,0,0,10,10,2410,0,3,417
"2023-11-09 02:35:20",eArL694412,921b071f-976e-475d-8220-e6168752be9a,Solitude,Strongholds,"Ranked Arena",CrossPlay,Open,1003,,Loss,50.16,7108,6295,317,159,158,1.10,8.00,22,20,18,0,0,17,18,3675,0,11,774
"2023-11-09 02:49:24",eArL694412,aabe8b19-8a8c-4b12-a8a0-31c4c5942ee6,Recharge,Strongholds,"Ranked Arena",CrossPlay,Open,995,,Loss,47.44,4481,4279,215,102,113,0.93,2.33,13,14,10,0,0,12,13,1950,0,5,548
"2023-11-09 04:11:01",eArL694412,613ee15d-6cf1-4e13-99e2-60411a54e315,Prism,"Team Slayer","Team Slayer",CrossPlay,Open,0,,Win,62.75,2600,2162,247,155,92,1.50,3.66,9,6,2,0,0,7,6,1000,0,4,498
"2023-11-09 04:21:24",eArL694412,68798920-0aca-48a5-8775-f288068cf26e,"Live Fire","King of the Hill","Ranked Arena",CrossPlay,Open,987,,Win,50.49,4166,4758,206,104,102,1.13,4.66,17,15,8,0,0,15,15,2450,0,3,579
"2023-11-09 04:32:24",eArL694412,af338ba8-c27d-4d9b-857b-35dfe6a61bf8,Streets,Extraction,"Ranked Arena",CrossPlay,Open,995,,Left,53.37,4051,3598,178,95,83,0.92,1.66,11,12,8,0,0,9,12,1900,0,9,482
"2023-11-09 04:40:57",eArL694412,3be1ebdd-497a-45e0-a99c-8cd0b369eea9,"Live Fire",Slayer,"Ranked Arena",CrossPlay,Open,986,,Win,51.11,4373,3439,180,92,88,1.10,4.00,11,10,9,0,0,11,11,1550,0,4,506
